hub_levels,max_connections,ef_construction,build_time_s,avg_query_ms,std_query_ms,recall,std_recall,num_edges
2,4,10,0.2554470539093018,1.6482577323913574,0.7473788628721605,0.6309999999999999,0.2938349877056849,58351
2,4,30,0.26404361724853515,2.52042293548584,1.1714470679860753,0.8720000000000002,0.21027600909281116,58351
2,4,60,0.261184024810791,3.6535348892211914,1.3269721280649807,0.9289999999999999,0.1856313551100675,58351
2,4,100,0.26183152198791504,5.019193649291992,1.678675110739448,0.9730000000000001,0.10663489110042734,58351
2,4,200,0.2598406791687012,8.183511734008789,2.357057419107534,0.9869999999999999,0.10164152694642088,58351
2,8,10,0.3446094512939453,2.0735416412353516,0.5543639163720442,0.7809999999999999,0.250876463623035,117037
2,8,30,0.34900727272033694,3.7411203384399414,1.1046356589689517,0.9350000000000002,0.13955285736952863,117037
2,8,60,0.35341482162475585,5.88913631439209,1.4798208168549714,0.9840000000000002,0.04409081537009721,117037
2,8,100,0.3514378547668457,8.62529706954956,2.107043518067901,0.9930000000000001,0.02551470164434614,117037
2,8,200,0.3494578838348389,14.744351863861084,3.2497248844663447,0.9990000000000002,0.009949874371066196,117037
2,16,10,0.5803844451904296,3.151398181915283,0.9402796717117979,0.8629999999999999,0.20911958301412134,234107
2,16,30,0.5765162467956543,6.2467803955078125,2.305322495138307,0.9640000000000001,0.1118212859879549,234107
2,16,60,0.5724693298339844,10.495060920715332,3.284591201340497,0.9940000000000001,0.023748684174075836,234107
2,16,100,0.5816010951995849,15.888973712921143,4.52252790218199,0.998,0.014000000000000002,234107
2,16,200,0.5816229820251465,28.212399005889893,6.665145091952374,1.0,0.0,234107
3,4,10,0.29256367683410645,2.3560538291931152,1.4302887676368636,0.7490000000000001,0.22999782607668276,68072
3,4,30,0.28942580223083497,3.671591281890869,1.7134236455255205,0.9120000000000001,0.13948476619330155,68072
3,4,60,0.3233342170715332,5.285523414611816,2.2848310149128137,0.9540000000000001,0.11867602959317439,68072
3,4,100,0.30289230346679685,7.363584518432617,2.6705555979660667,0.9760000000000002,0.1040384544291196,68072
3,4,200,0.29669694900512694,11.796894073486328,3.4581296090278086,0.9990000000000002,0.009949874371066194,68072
3,8,10,0.4041661262512207,3.105647563934326,1.3673230377152896,0.8309999999999998,0.21386678096422548,136504
3,8,30,0.41988158226013184,5.598295211791992,2.6238569801674254,0.9490000000000001,0.10148398888494678,136504
3,8,60,0.4299009323120117,8.765180587768555,2.9669787248861126,0.9870000000000003,0.0391279950930277,136504
3,8,100,0.43143773078918457,12.762438297271729,4.203698872380668,0.9949999999999999,0.021794494717703363,136504
3,8,200,0.4183653831481934,21.426101684570312,5.62107518782982,0.9990000000000002,0.009949874371066196,136504
3,16,10,0.7281391143798828,4.297819137573242,1.3311453895437306,0.9120000000000001,0.15118200951171407,272928
3,16,30,0.7257402896881103,8.998903274536133,3.1339279841093566,0.975,0.05545268253204707,272928
3,16,60,0.7292142868041992,15.395890235900879,4.8146558307961325,0.9940000000000001,0.023748684174075836,272928
3,16,100,0.7287193775177002,23.418213844299316,6.3587874908899265,0.998,0.014000000000000002,272928
3,16,200,0.7279924869537353,41.14015054702759,9.035507589271479,1.0,0.0,272928
4,4,10,0.31972503662109375,2.8505072593688965,1.3372270070416974,0.737,0.2598672738149227,72929
4,4,30,0.34132990837097166,4.497517108917236,2.255917505967167,0.9019999999999999,0.1685111272290349,72929
4,4,60,0.34784302711486814,6.779298782348633,3.598052592855214,0.9640000000000001,0.06858571279792898,72929
4,4,100,0.33812742233276366,9.233785629272461,3.225486014858973,0.985,0.03570714214271424,72929
4,4,200,0.33759069442749023,14.623283863067627,4.870982088828314,0.9990000000000002,0.009949874371066194,72929
4,8,10,0.46564083099365233,3.846198081970215,1.883365230718184,0.8379999999999999,0.20965686251587376,146214
4,8,30,0.45871405601501464,6.888284683227539,3.4255819840119686,0.9560000000000002,0.07657675887630656,146214
4,8,60,0.4658202648162842,10.912132263183594,3.853825117249478,0.9880000000000001,0.038157568056677825,146214
4,8,100,0.4616684913635254,15.840775489807129,5.317965609302907,0.9949999999999999,0.021794494717703363,146214
4,8,200,0.4691657066345215,26.965046882629395,6.979361687380768,0.9990000000000002,0.009949874371066196,146214
4,16,10,0.7887176036834717,5.592410087585449,2.5348487989962694,0.917,0.13568714014231414,292306
4,16,30,0.7833487510681152,11.409877300262451,4.498170742080817,0.975,0.05545268253204707,292306
4,16,60,0.7987491607666015,19.487830638885498,6.062318540118502,0.9940000000000001,0.023748684174075836,292306
4,16,100,0.8017462253570556,30.136142253875732,8.331230814746116,0.998,0.014000000000000002,292306
4,16,200,0.7678139686584473,50.1753625869751,10.473264090254387,1.0,0.0,292306
