M,ef_construction,ef_search,build_time_s,avg_query_ms,std_query_ms,recall@10,std_recall,num_edges
32,200,400,16.19889744122823,5.818533102671306,1.3029200410293484,0.6853333333333333,0.13921474851335178,44480
32,200,800,16.482715209325153,8.660048802693685,1.2037081939261527,0.8131333333333334,0.11288329171301158,44924
32,200,1600,17.058924833933514,11.978753566741943,1.6659589781278796,0.7451333333333333,0.08898075109156854,44808
32,400,400,28.911370277404785,6.363933086395264,1.3512926974246149,0.8368666666666668,0.11031896457180768,49320
32,400,800,29.698365926742554,9.552244981129965,1.577340868606737,0.9054000000000001,0.08410040473952453,50049
32,400,1600,27.41904290517171,13.061055342356363,1.0845257593506736,0.7865333333333333,0.12335999057281492,48318
64,200,400,15.452916463216146,5.2680439949035645,0.7696480433380378,0.46693333333333337,0.1556048732462926,43497
64,200,800,17.604261477788288,9.12711763381958,1.7582119589690526,0.8316666666666667,0.10516969729355223,44773
64,200,1600,16.437963088353474,12.977244059244791,2.9914608450211375,0.6759333333333334,0.13731263178884434,43760
64,400,400,30.182416677474976,6.464169343312581,1.0743697685679023,0.8804000000000002,0.07945394764356044,49957
64,400,800,29.11384693781535,8.34457810719808,1.5955259898060603,0.6033333333333334,0.115345792679587,48901
64,400,1600,27.859551747639973,8.778473059336344,0.9824490386128789,0.48206666666666664,0.10786172833114854,48642
