hub_levels,max_connections,ef_construction,build_time_s,avg_query_ms,std_query_ms,recall@10,std_recall,num_edges
2,4,10,0.1239509105682373,1.24429931640625,0.42739815755499333,0.6886000000000001,0.2717536384301045,29068
2,4,30,0.1438624382019043,1.933346652984619,0.5478868244355155,0.9364000000000001,0.10988648688533091,29068
2,4,60,0.13424382209777833,2.959351825714111,0.755765830145069,0.9758000000000001,0.06628996907526809,29068
2,4,100,0.12725706100463868,4.221421527862549,1.0145220918874274,0.9886000000000001,0.046583688132220705,29068
2,4,200,0.12439470291137696,7.053710842132569,1.1868207673744056,0.9963999999999998,0.02066494616494318,29068
2,8,10,0.18555564880371095,1.7138259887695313,0.5848206710352034,0.8612,0.17948414971801824,58214
2,8,30,0.18743104934692384,2.988739013671875,0.8181384864372513,0.9656,0.08158823444590524,58214
2,8,60,0.19193072319030763,5.094147109985352,1.160546719786074,0.9896,0.03810301825315154,58214
2,8,100,0.19080739021301268,7.520158386230468,1.548664847445473,0.9965999999999999,0.020209898564812243,58214
2,8,200,0.1795222282409668,12.892731761932373,2.1528281205099296,0.9994,0.007722693830523127,58214
2,16,10,0.3476463794708252,2.8387938499450684,0.9727990009414029,0.9322000000000001,0.10612803588119399,116299
2,16,30,0.3293435096740723,5.368864822387695,1.5254708329993414,0.984,0.053516352641038614,116299
2,16,60,0.33274292945861816,9.23885555267334,2.10828675116126,0.9957999999999998,0.023714130808444138,116299
2,16,100,0.3483288764953613,14.402480697631836,2.872751708394906,0.9986,0.01174904251417961,116299
2,16,200,0.3405156135559082,25.85929822921753,3.985197388061665,0.9997999999999999,0.004467661580737734,116299
3,4,10,0.15699758529663085,1.5657389640808106,0.5739794906388506,0.8082,0.2028614305381878,33900
3,4,30,0.15159382820129394,2.593314266204834,0.7336599005399147,0.9396000000000001,0.10616892200639508,33900
3,4,60,0.140761661529541,3.983935546875,0.8883051528333062,0.976,0.06621178142898738,33900
3,4,100,0.16606559753417968,5.960326385498047,1.3025505739121956,0.9887999999999998,0.045106097148833436,33900
3,4,200,0.1707529067993164,10.215442657470703,1.6267487094089002,0.9963999999999998,0.02066494616494318,33900
3,8,10,0.2310093402862549,2.4210765838623045,0.8835738927696054,0.8874000000000001,0.15093455535429917,67887
3,8,30,0.23579320907592774,4.414666843414307,1.1609608665093023,0.968,0.07678541528180986,67887
3,8,60,0.23644533157348632,7.176462554931641,1.65683412500238,0.9896,0.03810301825315154,67887
3,8,100,0.21965627670288085,10.490397071838379,2.1502328244837385,0.9965999999999999,0.020209898564812243,67887
3,8,200,0.21665043830871583,18.8384916305542,2.6648477526592513,0.9994,0.007722693830523127,67887
3,16,10,0.39498438835144045,3.5168275833129883,1.20174693626947,0.937,0.10164152694642088,135664
3,16,30,0.3935044765472412,7.469245529174804,2.2363298744668794,0.9846,0.051213670050095014,135664
3,16,60,0.41360673904418943,13.314063835144044,3.017157337462936,0.9957999999999998,0.023714130808444138,135664
3,16,100,0.41113595962524413,20.77357244491577,3.98289174400862,0.9986,0.01174904251417961,135664
3,16,200,0.41394786834716796,39.140769958496094,5.5973876688490325,0.9997999999999999,0.004467661580737734,135664
4,4,10,0.1752263069152832,1.8274970054626465,0.7059232591594725,0.8128,0.19574514042499244,36311
4,4,30,0.19507303237915039,3.233074188232422,0.9996022864522036,0.9396000000000001,0.10598037554188981,36311
4,4,60,0.17174930572509767,5.019196033477783,1.1930654828421576,0.976,0.06621178142898738,36311
4,4,100,0.17137494087219238,7.485464668273925,1.41478489007774,0.9887999999999998,0.045106097148833436,36311
4,4,200,0.19782114028930664,12.978366470336914,1.9109833267179475,0.9963999999999998,0.02066494616494318,36311
4,8,10,0.22932896614074708,2.601713943481445,0.8975650036229771,0.8878,0.15043656470419683,72709
4,8,30,0.27024002075195314,5.1810047149658205,1.5638889038742374,0.9684000000000001,0.07564020095161038,72709
4,8,60,0.24763717651367187,9.109113216400146,2.0120113640238158,0.9896,0.03810301825315154,72709
4,8,100,0.270753002166748,13.815641403198242,2.4965504900125923,0.9965999999999999,0.020209898564812243,72709
4,8,200,0.26663622856140134,24.43224287033081,3.832690780495404,0.9994,0.007722693830523127,72709
4,16,10,0.47689032554626465,4.470848846435547,1.59508052091167,0.9372,0.10067849820095649,145300
4,16,30,0.43669943809509276,9.322773647308349,2.4652356485857343,0.9846,0.051213670050095014,145300
4,16,60,0.43843579292297363,17.028911304473876,3.645486560051571,0.9957999999999998,0.023714130808444138,145300
4,16,100,0.427766752243042,26.163604736328125,4.821171634361841,0.9986,0.01174904251417961,145300
4,16,200,0.4311078548431396,47.08478317260742,5.823459833764878,0.9997999999999999,0.004467661580737734,145300
