M,ef_construction,ef_search,build_time_s,avg_query_ms,std_query_ms,recall,std_recall,num_edges
32,200,400,32.20309718449911,4.0819986661275225,0.5244187707319726,0.6936666666666667,0.1064209583901981,93200
32,200,800,32.941340923309326,7.660245895385742,0.7236004047233567,0.936,0.11071325595905447,93628
32,200,1600,32.107142527898155,11.472107569376627,0.9288071173588732,0.8433333333333334,0.17295795114075485,90183
32,400,400,53.02282865842184,4.831479390462239,0.6814182427351102,0.6783333333333333,0.16259820970055103,95067
32,400,800,50.45423245429993,7.086394627888997,0.6496485706488141,0.8093333333333335,0.20687172085162422,96662
32,400,1600,52.63270568847656,11.65841261545817,1.7545566645443078,0.9336666666666668,0.1127224170886334,101545
64,200,400,29.705725987752277,3.479487101236979,0.3890688456546691,0.482,0.15367939137273554,90828
64,200,800,27.894069115320843,6.334012349446614,0.5646412291575272,0.7810000000000001,0.22436976560236044,87730
64,200,1600,28.864159901936848,10.445163249969482,0.6108415997884639,0.8803333333333333,0.1382117031461154,89706
64,400,400,49.98928348223368,4.684975941975911,0.6487326511099328,0.8793333333333333,0.1444580080618575,99361
64,400,800,48.159885247548424,6.263438860575358,0.5128296262278453,0.6566666666666666,0.21002111372794274,96228
64,400,1600,52.65373953183492,11.37592077255249,1.6235625651871441,0.9330000000000002,0.10093374947991667,101283
